sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
187.837000000,-0.00165862,-0.0017114,-0.00100765,9.32276e-06,-0.00149539,0.000700658
187.848000000,-0.00165992,-0.00171273,-0.00100765,9.32381e-06,-0.0014954,0.000701216
187.859000000,-0.00166122,-0.00171406,-0.00100765,9.32485e-06,-0.00149541,0.000701774
187.869000000,-0.00166252,-0.00171539,-0.00100765,9.32589e-06,-0.00149542,0.000702332
187.878000000,-0.00166382,-0.00171672,-0.00100765,9.32693e-06,-0.00149543,0.00070289
187.888000000,-0.00166512,-0.00171806,-0.00100765,9.32798e-06,-0.00149544,0.000703449
187.899000000,-0.00166642,-0.00171939,-0.00100765,9.32902e-06,-0.00149545,0.000704007
187.909000000,-0.00166772,-0.00172072,-0.00100765,9.33006e-06,-0.00149546,0.000704565
187.919000000,-0.00166902,-0.00172205,-0.00100765,9.3311e-06,-0.00149547,0.000705123
187.928000000,-0.00167033,-0.00172338,-0.00100765,9.33215e-06,-0.00149548,0.000705681
187.938000000,-0.00167163,-0.00172471,-0.00100765,9.33319e-06,-0.00149549,0.00070624
187.949000000,-0.00167293,-0.00172605,-0.00100765,9.33423e-06,-0.0014955,0.000706798
187.959000000,-0.00167423,-0.00172738,-0.00100765,9.33527e-06,-0.00149551,0.000707356
187.969000000,-0.00167553,-0.00172871,-0.00100765,9.33632e-06,-0.00149552,0.000707915
187.979000000,-0.00167683,-0.00173004,-0.00100765,9.33736e-06,-0.00149553,0.000708473
187.989000000,-0.00167813,-0.00173137,-0.00100765,9.3384e-06,-0.00149554,0.000709031
187.999000000,-0.00167943,-0.00173271,-0.00100765,9.33945e-06,-0.00149555,0.00070959
188.009000000,-0.00168073,-0.00173404,-0.00100765,9.34049e-06,-0.00149556,0.000710148
188.019000000,-0.00168203,-0.00173537,-0.00100765,9.34153e-06,-0.00149557,0.000710707
188.029000000,-0.00168333,-0.0017367,-0.00100765,9.34257e-06,-0.00149558,0.000711265
188.038000000,-0.00168463,-0.00173803,-0.00100765,9.34362e-06,-0.00149559,0.000711824
188.049000000,-0.00168593,-0.00173936,-0.00100765,9.34466e-06,-0.0014956,0.000712382
188.058000000,-0.00168723,-0.0017407,-0.00100765,9.3457e-06,-0.00149561,0.000712941
188.069000000,-0.00168853,-0.00174203,-0.00100765,9.34675e-06,-0.00149562,0.000713499
188.079000000,-0.00168984,-0.00174336,-0.00100765,9.34779e-06,-0.00149563,0.000714058
188.089000000,-0.00169114,-0.00174469,-0.00100765,9.34883e-06,-0.00149564,0.000714617
188.099000000,-0.00169244,-0.00174602,-0.00100764,9.34988e-06,-0.00149565,0.000715175
188.109000000,-0.00169374,-0.00174735,-0.00100764,9.35092e-06,-0.00149566,0.000715734
188.119000000,-0.00169504,-0.00174869,-0.00100764,9.35197e-06,-0.00149567,0.000716293
188.128000000,-0.00169634,-0.00175002,-0.00100764,9.35301e-06,-0.00149568,0.000716851
188.138000000,-0.00169764,-0.00175135,-0.00100764,9.35405e-06,-0.00149569,0.00071741
188.148000000,-0.00169894,-0.00175268,-0.00100764,9.3551e-06,-0.0014957,0.000717969
188.158000000,-0.00170024,-0.00175401,-0.00100764,9.35614e-06,-0.00149571,0.000718528
188.168000000,-0.00170154,-0.00175534,-0.00100764,9.35719e-06,-0.00149572,0.000719087
188.177000000,-0.00170284,-0.00175668,-0.00100764,9.35823e-06,-0.00149573,0.000719646
188.189000000,-0.00170414,-0.00175801,-0.00100764,9.35927e-06,-0.00149574,0.000720204
188.198000000,-0.00170544,-0.00175934,-0.00100764,9.36032e-06,-0.00149575,0.000720763
188.209000000,-0.00170674,-0.00176067,-0.00100764,9.36136e-06,-0.00149576,0.000721322
188.219000000,-0.00170805,-0.001762,-0.00100764,9.36241e-06,-0.00149577,0.000721881
